Id,Type,Energy_kcal,Water_g,Protein_g,Fat_g,CHO_g,Fiber_g,VA_ug,VB1_mg,VB2_mg,VC_mg,Ca_mg,Fe_mg,Zn_mg,Ile_mg,Leu_mg,Lys_mg,SAA_mg,AAA_mg,Thr_mg,Trp_mg,Val_mg
81114,3,339,53,13.6,30.6,2.2,0,10,0.36,0.15,0,6,1.3,3.43,600,1250,1310,490,1300,710,70,740
91303,3,279,49.4,20.3,17.3,10.5,0,23,0.03,0.17,0,109,2.2,0,420,800,750,420,750,420,90,490
121417,3,88,78,19.8,1.1,0,0,0,0.01,0.03,0,184,1.4,0.16,610,1070,1100,550,1100,650,120,710
121242,3,99,77.9,17.9,3,0.1,0,0,0.04,0.04,0,78,0.9,0.94,700,1320,1500,730,1320,790,110,830
121203,3,127,73.3,17.7,4.9,3.1,0,29,0.02,0.06,0,28,1.2,0.7,660,1220,1380,710,1140,730,100,760
066201x,2,25,93.3,0.6,0.1,5.5,0.3,75,0.02,0.03,6,8,0.3,0.1,18,18,18,24,13,4,20,66
65033,2,91,75.8,1.4,0.2,20.8,1.2,10,0.02,0.04,8,7,0.4,0.18,42,86,60,37,72,49,6,42
66104,2,34,91,0.5,0.1,7.7,0.2,153,0,0.01,12,4,0,0,10,17,15,7,2,14,23,6
13109,1,340,12.1,8.1,3.3,69.6,5.6,7,0.26,0.09,0,22,3.2,1.22,280,1110,170,350,750,270,40,460
64301,2,41,89,0.8,0.2,9.1,0.4,2,0,0.03,23,4,0.3,0.4,19,29,30,45,58,48,5,41
82105,3,107,73.2,22.2,0.9,2.4,0,4,0.05,0.15,0,3,4.4,6.92,1078,1951,2106,492,2006,1115,59,1238
